cardId,cardName,rarity,category,timing,energyCost,targetType,range,speedModifier,cooldownTurns,exhaust,description,effectsJson
ASS_001,刺杀,Common,Attack,Normal,1,SingleEnemy,1,0,0,false,"对目标造成 5 伤害，命中破绽翻倍","[{type:'Damage',damage:5}]"
ASS_002,防御,Common,Skill,Normal,1,Self,0,0,0,false,"格挡 5 点伤害","[{type:'Block',blockAmount:5}]"
ASS_003,暗中前行,Common,Movement,FirstStrike,1,HexCell,0,2,0,false,"必须本回合优先使用，使用后结束本回合，移动距离=本回合手牌最大费用","[{type:'Move',maxSteps:0}]"
ASS_004,殊死一搏,Rare,Special,Normal,3,SingleEnemy,1,-2,3,true,"将所有手牌当作刺杀使用，破绽伤害 x1.5","[{type:'DesperateStrike',damagePerCard:5,critMultiplier:1.5}]"
ASS_005,难以治愈,Uncommon,Attack,Normal,1,SingleEnemy,1,-1,0,false,"刺杀伤害 x0.75，但目标流血叠加","[{type:'RustyBlade',damage:4,bleedStacks:2,bleedTurns:3}]"
ASS_006,按兵不动,Uncommon,Special,EndOfTurn,0,SingleEnemy,3,3,2,false,"本回合不行动，下回合敌人破绽出现在你面前","[{type:'HoldPosition'}]"
ASS_007,投毒,Uncommon,Skill,Normal,1,SingleEnemy,1,0,3,false,"未来 2 回合敌人回血减半，5 回合中毒","[{type:'Poison',duration:5}]"
ASS_008,反客为主,Rare,Special,Reaction,2,Self,0,0,4,false,"敌人对你攻击时躲避并随机打出一张手牌","[{type:'Counter'}]"
ASS_009,收刀,Common,Skill,Normal,1,Self,0,1,2,false,"敌人无法攻击你的破绽，2 回合内不可使用刺杀","[{type:'Sheathe'}]"
ASS_010,重装上阵,Rare,Power,Normal,2,Self,0,-3,0,true,"切换为远程模式，仅在队友身后能攻击","[{type:'RangedStance'}]"
ASS_011,精准刺杀,Uncommon,Attack,Normal,2,SingleEnemy,1,0,0,false,"造成 8 伤害，必命中破绽","[{type:'PreciseStrike',damage:8}]"
ASS_012,影分身,Rare,Skill,Normal,2,Self,0,0,4,false,"在身后格创造一个影子，敌人首次攻击你被影子代替","[{type:'Shadow'}]"
ASS_013,致命三连,Rare,Attack,Normal,2,SingleEnemy,1,0,3,false,"对同一目标连续 3 次刺杀（伤害 3+3+3）","[{type:'TripleStab',perHit:3}]"
ASS_014,绊脚陷阱,Common,Skill,Normal,1,HexCell,2,0,2,false,"在指定格放置陷阱，敌人进入受 4 伤害并僵直","[{type:'Trap',damage:4}]"
ASS_015,绕背,Common,Movement,Normal,1,HexCell,2,1,0,false,"绕到目标背后，本回合下次刺杀必命中破绽","[{type:'Flank'}]"
ASS_016,瞄准,Common,Skill,Normal,1,SingleEnemy,3,0,1,false,"在目标的"伤口"破绽边数翻倍出现","[{type:'Mark'}]"
ASS_017,毒刃,Uncommon,Attack,Normal,2,SingleEnemy,1,0,0,false,"造成 4 伤害并施加流血 3","[{type:'PoisonBlade',damage:4,bleed:3}]"
ASS_018,虚晃,Common,Skill,Normal,1,SingleEnemy,2,0,1,false,"在目标的随机一边制造伤口破绽","[{type:'CreateBreakPoint',type:'Wound',duration:2}]"
ASS_019,死亡突袭,Legendary,Attack,Normal,3,SingleEnemy,2,2,5,true,"对低于 30% 血量的目标直接斩杀","[{type:'Execute',threshold:0.3}]"
ASS_020,残影步,Rare,Movement,FirstStrike,1,HexCell,0,3,2,false,"移动 3 格，过程中 1 次免伤","[{type:'PhantomStep',distance:3}]"
